mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
23.497461318969727,1.2683646963718063,9.33073878288269,1.5754900287263276,50,2,2,log2,15,gini,,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8881661942790082,0.8866390366082019,0.8866754468848689,0.8871602259240263,0.0007114823377899065,19,random,10,0.8922730961566464
53.02605374654134,1.732935533317668,9.454731543858847,0.3188831494747925,200,5,2,log2,20,entropy,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': False}",0.8985427611349799,0.8979446414423963,0.8958507148264153,0.8974460391345972,0.0011541899115457502,1,random,11,0.8974460391345972
48.598980824152626,0.3341625741983254,7.386485735575358,0.5578277644410352,50,2,2,,10,gini,,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}",0.8382146059374955,0.8402162027999704,0.8408650242430857,0.8397652776601839,0.0011280305580732442,45,random,12,0.8974460391345972
20.366983652114868,0.4348193156715907,9.180045286814371,0.7211948988759214,150,8,4,sqrt,5,log_loss,,False,"{'n_estimators': 150, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}",0.8585975418063181,0.8580533998680353,0.8575460458801214,0.8580656625181583,0.00042935897967635926,35,random,13,0.8974460391345972
14.460372368494669,1.5442763798372439,9.458264748255411,0.3540692935386925,50,5,2,sqrt,5,gini,balanced,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': False}",0.8579092842848559,0.8591128552779285,0.8569774476600966,0.857999862407627,0.0008741261239344863,38,random,14,0.8974460391345972
40.37455097834269,0.7385152699300466,3.0161377588907876,0.15706581310746429,200,5,2,log2,,log_loss,balanced,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}",0.8972913649297444,0.8963140140629418,0.8948698988427245,0.8961584259451368,0.0009946625053917817,2,random,15,0.8974460391345972
17.10224684079488,0.7860300945431201,7.515038808186849,0.9322149421261172,50,5,2,log2,15,entropy,balanced,True,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}",0.8902709316171075,0.8894910979299926,0.887175294821109,0.8889791081227364,0.0013146208490754,18,random,16,0.8974460391345972
19.85185130437215,0.19793347005611794,4.060167948404948,0.14512125948804627,200,5,4,log2,5,entropy,balanced,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced', 'bootstrap': True}",0.8575987311194635,0.8597021309484023,0.8568275422484217,0.8580428014387625,0.0012148289001270268,37,random,17,0.8974460391345972
17.732336203257244,1.9411758054885258,3.2122373580932617,0.2773969597480673,50,2,1,sqrt,15,log_loss,balanced,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': False}",0.8912653264660264,0.8907077106662321,0.8882721101912612,0.8900817157745066,0.001299676400808991,16,random,18,0.8974460391345972
13.584186474482218,0.46059996565096856,6.286961317062378,0.36130502110160456,10,8,4,,,gini,,True,"{'n_estimators': 10, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': None, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8731343650590917,0.8702595846009319,0.8700617393761717,0.8711518963453985,0.0014041420473773494,31,random,19,0.8974460391345972
3.718881130218506,0.17379801117953245,2.17679492632548,0.010499916931113644,10,5,2,log2,10,log_loss,,True,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': True}",0.875811716818939,0.8727466725961535,0.8727645283727651,0.8737743059292858,0.0014406854982143096,30,random,20,0.8974460391345972
16.00336567560832,2.4386776545159976,7.868471463521321,1.0857650054368715,50,5,1,log2,,log_loss,balanced,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': False}",0.8947400579754663,0.893967191682224,0.8918272245247483,0.8935114913941463,0.0012320434901201436,6,random,21,0.8974460391345972
