mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,method,iter,running_best
2.609164762496948,0.2858808468846526,0.2171640396118164,0.17376235127438966,False,balanced,log_loss,5,log2,1,2,200,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 5), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 200)])",0.9717396685639974,0.9673905704353812,0.9697651902945537,0.9718381377007319,0.9712074319041779,0.9703881997797683,0.001671756658611323,40,bayes,22,0.9767725838992203
3.9314397811889648,0.3980802570897626,0.18661627769470215,0.07877573278929569,False,,gini,12,log2,1,2,200,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'gini'), ('max_depth', 12), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 200)])",0.9737700175663042,0.9698767548741971,0.9705432869052849,0.9747156066351381,0.9739424263789366,0.9725696184719721,0.0019640956547948905,33,bayes,23,0.9767725838992203
4.435332918167115,0.3605800848076967,0.24777774810791015,0.0999105403996343,False,,entropy,14,sqrt,1,8,200,"OrderedDict([('bootstrap', False), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 14), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 8), ('n_estimators', 200)])",0.975746087810497,0.9727259348252614,0.9723730976280789,0.9768385821442785,0.9764636839117498,0.9748294772639732,0.0018976828180072907,21,bayes,24,0.9767725838992203
6.750920820236206,0.025933585715126238,0.06997032165527343,0.012898911302360535,True,balanced,entropy,13,,5,8,129,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 13), ('max_features', None), ('min_samples_leaf', 5), ('min_samples_split', 8), ('n_estimators', 129)])",0.9770490306996412,0.9751848535378177,0.9750671232147015,0.9781577713984415,0.9779724939949618,0.9766862545691127,0.0013286964709894435,7,bayes,25,0.9767725838992203
11.773653697967529,0.22574600485408347,0.30163159370422366,0.13587429154242833,False,balanced,log_loss,12,,5,5,171,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 12), ('max_features', None), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 171)])",0.9643587935075327,0.9647044289141833,0.9649871434140814,0.965959134425991,0.9604597515964615,0.96409385037165,0.0018935116578841296,43,bayes,26,0.9767725838992203
0.47123098373413086,0.031069290259795716,0.02718214988708496,0.005323807220785657,True,balanced,gini,10,,1,2,10,"OrderedDict([('bootstrap', True), ('class_weight', 'balanced'), ('criterion', 'gini'), ('max_depth', 10), ('max_features', None), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 10)])",0.9769786805773925,0.9753092044543352,0.9748610256582866,0.9778357013420174,0.9777312571085716,0.9765431738281205,0.0012348391202780065,9,bayes,27,0.9767725838992203
0.19037652015686035,0.007290361544952987,0.0283602237701416,0.0023467625087170616,True,,log_loss,3,log2,5,7,17,"OrderedDict([('bootstrap', True), ('class_weight', None), ('criterion', 'log_loss'), ('max_depth', 3), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 7), ('n_estimators', 17)])",0.9382595804282321,0.9296511159540836,0.9355750308817832,0.938937446591017,0.9390750220706625,0.9362996391851557,0.003556123341373716,48,bayes,28,0.9767725838992203
5.875109148025513,0.3913705392629368,0.3017918109893799,0.13704465996275914,False,balanced,entropy,20,log2,1,2,200,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'entropy'), ('max_depth', 20), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 200)])",0.9733071572253468,0.9718601027172431,0.9717558157364531,0.9740829311455936,0.9743506073725103,0.9730713228394293,0.0010874880469809057,30,bayes,29,0.9767725838992203
3.2758333683013916,0.017769965340859496,0.11316404342651368,0.01164527574588394,True,,entropy,8,sqrt,5,8,200,"OrderedDict([('bootstrap', True), ('class_weight', None), ('criterion', 'entropy'), ('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_leaf', 5), ('min_samples_split', 8), ('n_estimators', 200)])",0.9705206707560708,0.9651916995346279,0.9652551763690704,0.9701722067228147,0.9703661709774324,0.9683011848720031,0.0025154750976583242,42,bayes,30,0.9767725838992203
4.61710524559021,0.23593833620864732,0.3618577480316162,0.17533383535318095,False,balanced,log_loss,11,sqrt,3,2,200,"OrderedDict([('bootstrap', False), ('class_weight', 'balanced'), ('criterion', 'log_loss'), ('max_depth', 11), ('max_features', 'sqrt'), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 200)])",0.977608445572607,0.9747938089466555,0.9753964345628129,0.9780856503320196,0.9781104987666691,0.9767989676361527,0.0014155339054675727,4,bayes,31,0.9767989676361527
